縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
臺中市,太平區,公寓,2025Q2,9,20.96,26.18,91,15.4%
臺中市,豐原區,透天厝,2024Q2,101,38.66,47.48,106,13.4%
桃園市,中壢區,透天厝,2024Q3,141,39.98,53.37,102,14.7%
高雄市,仁武區,透天厝,2024Q1,225,32.9,40.66,130,13.5%
高雄市,苓雅區,透天厝,2025Q2,49,36.32,54.99,126,17.2%
高雄市,楠梓區,透天厝,2024Q1,132,33.72,42.03,132,14.3%
高雄市,前金區,住宅大樓,2025Q3,57,29.34,38.27,134,14.7%
桃園市,平鎮區,透天厝,2025Q3,70,28.48,39.23,128,20.6%
新北市,三峽區,透天厝,2025Q4,5,24.8,50.67,237,22.9%
臺中市,北屯區,公寓,2024Q3,51,28.9,31.39,102,15.6%
桃園市,大園區,透天厝,2025Q4,19,28.13,42.09,145,14%
臺中市,潭子區,住宅大樓,2025Q3,47,32.71,34.04,126,14.5%
高雄市,新興區,透天厝,2024Q3,40,68.79,64.92,160,13.7%
臺南市,安平區,公寓,2024Q4,4,13.53,25.23,228,21.2%
臺北市,文山區,公寓,2025Q4,35,51.28,59.02,133,13.3%
臺北市,信義區,透天厝,2024Q1,12,127.95,150.49,134,22.1%
新北市,板橋區,公寓,2024Q2,358,45.6,55.55,97,12.9%
高雄市,新興區,住宅大樓,2025Q3,63,26.81,33.44,114,15.4%
高雄市,小港區,住宅大樓,2025Q1,86,23.09,26.91,110,10.1%
臺北市,士林區,公寓,2025Q1,64,58.46,71.15,87,13.9%
桃園市,大園區,公寓,2025Q3,4,16.93,26.96,156,16.8%
桃園市,蘆竹區,公寓,2024Q4,7,21.75,27.26,51,13.6%
臺北市,萬華區,透天厝,2025Q4,4,164.69,129.15,17,21.2%
新北市,淡水區,透天厝,2024Q1,20,33.2,46.01,147,15.9%
臺南市,北區,住宅大樓,2025Q1,88,31.69,35.78,117,12.7%
臺中市,南屯區,公寓,2024Q2,9,25.58,34.73,130,11.4%
新北市,泰山區,住宅大樓,2025Q1,46,45.18,48.97,71,8%
新北市,深坑區,公寓,2024Q3,7,23.67,34.04,118,21.1%
臺北市,松山區,透天厝,2024Q1,2,179.45,149.55,NULL,NULL
新北市,泰山區,住宅大樓,2024Q4,54,45.34,49.85,57,9.4%
新北市,土城區,公寓,2025Q2,56,38.9,48.57,109,15.4%
臺中市,北區,公寓,2025Q3,42,22.34,29.47,126,16.5%
臺南市,永康區,公寓,2024Q4,11,18.48,24.11,109,25.4%
新北市,鶯歌區,住宅大樓,2025Q2,59,34.86,38.59,124,12.3%
桃園市,中壢區,公寓,2025Q2,62,20.96,28.56,147,17.4%
新北市,永和區,住宅大樓,2024Q1,205,65.52,68.31,84,10.3%
臺中市,神岡區,住宅大樓,2025Q4,5,20.95,27.58,90,19%
高雄市,鼓山區,透天厝,2025Q3,17,42.45,48.9,122,17.5%
桃園市,八德區,住宅大樓,2024Q1,509,33.25,31.81,86,9.7%
臺中市,北區,透天厝,2025Q2,45,46.43,60.97,142,17.9%
高雄市,鼓山區,住宅大樓,2024Q1,480,35.41,38.36,89,9.3%
新北市,五股區,住宅大樓,2025Q3,108,40.13,44.47,115,12%
臺北市,大安區,透天厝,2024Q3,2,261.14,175.61,NULL,NULL
臺中市,南屯區,透天厝,2025Q2,57,47.73,61.2,133,15.9%
臺中市,太平區,公寓,2024Q3,20,22.27,25.23,61,12.2%
桃園市,大園區,住宅大樓,2025Q4,115,24.79,40.43,177,13.1%
高雄市,楠梓區,住宅大樓,2025Q1,318,30.73,33.54,101,11%
臺中市,大雅區,透天厝,2024Q4,37,37.53,46.62,93,15.2%
臺南市,仁德區,住宅大樓,2025Q3,55,28.63,28.82,148,11.6%
臺北市,大同區,住宅大樓,2024Q3,131,95.05,91.24,71,11.5%
高雄市,左營區,透天厝,2025Q4,9,39.27,55.89,152,14.6%
臺北市,中山區,住宅大樓,2024Q2,661,90.7,98.45,93,10%
臺南市,南區,公寓,2025Q4,12,14.04,20.13,137,21%
臺北市,內湖區,透天厝,2025Q1,8,77.17,98.05,162,17.7%
新北市,鶯歌區,住宅大樓,2024Q1,149,33.81,34.53,101,10.1%
高雄市,新興區,住宅大樓,2025Q4,45,26.18,32.45,154,13.2%
臺北市,士林區,公寓,2024Q3,95,59.52,73.1,81,11.1%
新北市,深坑區,透天厝,2024Q2,3,29.99,44.37,244,8.4%
臺中市,潭子區,公寓,2025Q2,1,20.02,30.8,270,9.7%
新北市,三重區,公寓,2024Q2,304,45.42,58.56,96,15.4%
新北市,八里區,住宅大樓,2025Q3,49,28.42,33.7,117,14%
高雄市,岡山區,公寓,2025Q2,2,14.57,20.81,21,12.6%
臺中市,北屯區,住宅大樓,2024Q3,742,41.08,43.24,76,8.1%
高雄市,小港區,住宅大樓,2025Q4,46,23.14,27.24,137,11.7%
高雄市,前金區,透天厝,2025Q2,8,35.31,64.69,96,17.7%
臺北市,松山區,住宅大樓,2024Q3,164,98.46,110.13,85,10.5%
新北市,鶯歌區,透天厝,2025Q1,25,37.15,47.52,152,19.5%
臺中市,中區,透天厝,2024Q2,10,28.43,74.1,112,5.4%
新北市,樹林區,透天厝,2024Q1,20,42.72,57.03,162,15.2%
臺北市,中正區,透天厝,2024Q2,5,140.2,159.92,32,5.8%
新北市,板橋區,透天厝,2025Q1,16,70.01,108.27,104,17.3%
高雄市,新興區,公寓,2025Q1,11,19.45,26.36,131,13.2%
臺南市,歸仁區,透天厝,2024Q4,37,29.85,43.48,111,12.7%
高雄市,鼓山區,公寓,2024Q1,47,17.28,22.91,88,14%
桃園市,桃園區,公寓,2025Q3,54,23.09,30.97,125,17.9%
臺南市,北區,透天厝,2024Q1,81,31.65,42.87,120,15.6%
新北市,泰山區,公寓,2024Q3,22,30.45,39.08,88,12.8%
臺南市,中西區,公寓,2025Q2,10,15.67,25.76,170,14.5%
新北市,三重區,住宅大樓,2025Q3,227,60.46,65.99,123,11.9%
臺南市,善化區,住宅大樓,2024Q1,99,29.9,33.89,99,10.6%
高雄市,小港區,透天厝,2025Q3,56,28.05,34.23,168,18.1%
臺中市,南區,公寓,2024Q2,34,24.21,30.43,130,17.9%
